stop_name,stop_desc,wheelchair_boarding,stop_lon,location_type,stop_code,zone_id,stop_timezone,preferred,stop_lat,stop_url,parent_station,stop_id
Glen Northbound @ Medina,,1,-78.855412,0,1000,,,2,43.87268331,,,1000:1
Northbound @ 825 Glen,,1,-78.856489,0,1001,,,2,43.87529628,,,1001:1
Malaga Westbound @ Oxford,,1,-78.858799,0,1002,,,2,43.875507,,,1002:1
Malaga Westbound @ Park,,1,-78.862502,0,1003,,,1,43.874698,,,1003:1
McQuay Northbound @ Dundas,,1,-78.961715,0,100,,,2,43.87593224,,,100:1
Malaga Eastbound @ Park,,2,-78.863301,0,1014,,,2,43.87443,,,1014:1
Malaga Eastbound @ Oxford (West side stop),,1,-78.86054799999998,0,1015,,,2,43.875032,,,1015:1
Malaga Eastbound @ Oxford (East side stop),,1,-78.857982,0,1016,,,2,43.875586,,,1016:1
Southbound @ 830 Glen,,1,-78.85656,0,1017,,,2,43.87507063000001,,,1017:1
Glen Southbound @ Medina,,1,-78.855636,0,1018,,,2,43.87281378,,,1018:1
Glen Southbound @ Porter,,1,-78.854967,0,1019,,,2,43.871258,,,1019:1
McQuay Northbound @ Moonstone,,1,-78.96314599999998,0,101,,,2,43.878431,,,101:1
Wentworth Eastbound @ Ravine,,1,-78.846475,0,1020,,,2,43.873007,,,1020:1
Simcoe Southbound @ Ritson,,1,-78.841181,0,1023,,,2,43.872059,,,1023:1
Simcoe Southbound @ Wellington,,1,-78.8386,0,1024,,,2,43.870666,,,1024:1
Simcoe Southbound @ Kawartha,,1,-78.835431,0,1025,,,2,43.86897900000001,,,1025:1
Westbound @ 60 Lakeview Park,,1,-78.82959099999998,0,1027,,,2,43.863287,,,1027:1
Lakeview Park Westbound @ Ritson,,1,-78.836721,0,1029,,,2,43.861379,,,1029:1
McQuay Northbound @ Kennett,,1,-78.965224,0,102,,,2,43.879593,,,102:1
Valley Westbound @ Ritson,,1,-78.83846,0,1030,,,2,43.86425,,,1030:1
Phillip Murray Southbound @ Fundy,,1,-78.84241,0,1031,,,2,43.864094,,,1031:1
Phillip Murray Southbound @ Scugog,,1,-78.84441,0,1032,,,2,43.86300700000001,,,1032:1
Cedar Northbound @ Phillip Murray,,1,-78.84781779532226,0,1033,,,2,43.86144322995122,,,1033:1
McQuay Northbound @ Balsdon,,1,-78.966408,0,103,,,2,43.881326,,,103:1
McQuay Northbound @ Bonacord,,1,-78.9673866,0,104,,,2,43.8836627,,,104:1
Eastbound @ 1733 Victoria,,2,-78.899322,0,1052,,,1,43.867405,,,1052:1
Eastbound @ 555 Bloor,,1,-78.8787787,0,1053,,,2,43.8748675,,,1053:1
Eastbound @ 249 Bloor,,1,-78.864296,0,1055,,,2,43.878406,,,1055:1
Bloor Eastbound @ Oxford,,1,-78.860118,0,1056,,,2,43.879381,,,1056:1
Bloor Eastbound @ Simcoe,,1,-78.856285,0,1057,,,2,43.880241,,,1057:1
Bloor Eastbound @ Albert,,1,-78.853414,0,1058,,,2,43.880885,,,1058:1
Bloor Eastbound @ Merritt,,1,-78.8499396,0,1059,,,2,43.8816337,,,1059:1
McQuay Northbound @ Guthrie,,1,-78.968363,0,105,,,2,43.8852378,,,105:1
Bloor Eastbound @ Wilson (West side stop),,1,-78.837106,0,1062,,,2,43.884574,,,1062:1
Bloor Eastbound @ Farewell,,1,-78.831834,0,1064,,,2,43.885703,,,1064:1
Eastbound @ 887 Bloor,,2,-78.819826,0,1066,,,2,43.888433,,,1066:1
Grandview Southbound @ Bloor (South side stop),,1,-78.813063,0,1067,,,2,43.889648,,,1067:1
Grandview Southbound @ Downview,,1,-78.810582,0,1068,,,2,43.88767,,,1068:1
Grandview Southbound @ Norman,,1,-78.8095866,0,1069,,,2,43.88659650000001,,,1069:1
McQuay Northbound @ Renfield,,1,-78.969264,0,106,,,2,43.888336,,,106:1
Grandview Eastbound @ Southdown,,1,-78.806985,0,1070,,,2,43.886499,,,1070:1
Townline Northbound @ Grandview,,1,-78.80497908,0,1071,,,2,43.88752003,,,1071:1
McQuay Northbound @ Jacob,,1,-78.97109399999998,0,107,,,2,43.89000200000001,,,107:1
Westbound @ 882 Bloor,,1,-78.820015,0,1080,,,2,43.888469,,,1080:1
Bloor Westbound @ Farewell,,1,-78.83223599999998,0,1083,,,2,43.885798,,,1083:1
Bloor Westbound @ Holland,,1,-78.83441,0,1084,,,2,43.885282,,,1084:1
Bloor Westbound @ Ritson,,1,-78.845791,0,1087,,,2,43.88275200000001,,,1087:1
Bloor Westbound @ Merritt,,1,-78.85046,0,1088,,,2,43.881681,,,1088:1
Bloor Westbound @ Simcoe,,1,-78.855267,0,1089,,,2,43.880638,,,1089:1
McQuay Westbound @ Muir,,1,-78.97463999999998,0,108,,,2,43.889791,,,108:1
Bloor Westbound @ Oxford,,1,-78.86027799999998,0,1090,,,2,43.8794327,,,1090:1
Bloor Westbound @ Park,,1,-78.864334,0,1091,,,2,43.878553,,,1091:1
Simcoe Northbound @ Wentworth,,1,-78.845479,0,1096,,,2,43.874477,,,1096:1
Simcoe Northbound @ Frank,,1,-78.848778,0,1097,,,2,43.876246,,,1097:1
Garden Northbound @ Bassett (South stop),,1,-78.93895,0,10,,,2,43.89754400000001,,,10:1
Eastbound @ 1189 Colonel Sam,,1,-78.807633,0,1101,,,2,43.878222,,,1101:1
Country Lane Northbound @ Rossland,,1,-78.965943,0,110,,,2,43.894933,,,110:1
Farewell Southbound @ Bloor,,1,-78.83069399999998,0,1118,,,2,43.884732,,,1118:1
Farewell Southbound @ Raleigh,,1,-78.829233,0,1119,,,1,43.881319,,,1119:1
Farewell Southbound @ Wentworth,,1,-78.8286811,0,1120,,,2,43.8799536,,,1120:1
Park Northbound @ Quebec,,2,-78.869767,0,1132,,,2,43.887357,,,1132:1
King Westbound @ Townline,,1,-78.81421,0,1133,,,1,43.90656,,,1133:1
King Westbound @ Athabasca,,1,-78.818826,0,1134,,,2,43.906087,,,1134:1
King Westbound @ Kingsway College,,1,-78.821771,0,1135,,,2,43.905816,,,1135:1
