,Trip_ID,Start_Time,End_Time,Start_Stop,End_Stop,Start_Hour,End_Hour,Start_Day,End_Day
0,1965,04:15:00,04:53:00,2569:1,812:1,4,4,0,0
1,263,04:23:00,04:54:00,1498:1,1504:1,4,4,0,0
2,1966,04:32:00,04:47:00,2569:1,941251,4,4,0,0
3,243,04:36:00,05:14:00,2569:1,2595:1,4,5,0,0
4,2091,04:45:00,05:23:00,2569:1,812:1,4,5,0,0
5,1967,04:47:00,05:44:00,941251,2595:1,4,5,0,0
6,1865,04:49:00,05:23:00,2169:1,812:1,4,5,0,0
7,1002,04:49:00,05:18:00,1498:1,3347:1,4,5,0,0
8,450,04:50:00,05:16:00,1395:1,1498:1,4,5,0,0
9,260,04:54:00,05:32:00,1504:1,2585:1,4,5,0,0
10,1,05:00:00,05:40:00,812:1,2569:1,5,5,0,0
11,1968,05:02:00,05:17:00,2569:1,941251,5,5,0,0
12,214,05:04:00,05:38:00,36191,2576:1,5,5,0,0
13,1199,05:05:00,06:11:00,1163:1,3589:1,5,6,0,0
14,579,05:07:00,06:29:00,812:1,942161,5,6,0,0
15,768,05:09:00,05:14:00,3570:1,1029:1,5,5,0,0
16,675,05:13:00,05:20:00,93152:1,93137:1,5,5,0,0
17,766,05:14:00,05:50:00,1029:1,93026:1,5,5,0,0
18,131,05:15:00,05:20:00,1586:1,942091,5,5,0,0
19,129,05:15:00,05:42:00,935801,93112:1,5,5,0,0
20,1949,05:15:00,05:53:00,2569:1,812:1,5,5,0,0
21,1285,05:15:00,06:14:00,3589:1,3118:1,5,6,0,0
22,966,05:17:00,06:02:00,1498:1,2585:1,5,6,0,0
23,461,05:18:00,05:43:00,3347:1,1498:1,5,5,0,0
24,736,05:19:00,05:53:00,2169:1,812:1,5,5,0,0
25,1969,05:20:00,06:17:00,2595:1,941251,5,6,0,0
26,607,05:20:00,05:42:00,93137:1,2569:1,5,5,0,0
27,501,05:20:00,06:11:00,93112:1,812:1,5,6,0,0
28,502,05:20:00,05:48:00,942091,93112:1,5,5,0,0
29,1000,05:23:00,05:54:00,1498:1,1504:1,5,5,0,0
30,1574,05:29:00,05:55:00,3114:1,812:1,5,5,0,0
31,1950,05:30:00,06:10:00,812:1,2569:1,5,6,0,0
32,1970,05:32:00,05:47:00,2569:1,941251,5,5,0,0
33,448,05:32:00,06:00:00,93338:1,2585:1,5,6,0,0
34,1572,05:32:00,06:16:00,812:1,93112:1,5,6,0,0
35,215,05:34:00,06:08:00,36191,2576:1,5,6,0,0
36,1201,05:35:00,06:41:00,1163:1,3589:1,5,6,0,0
37,143,05:36:00,05:55:00,293:1,2576:1,5,5,0,0
38,222,05:36:00,06:14:00,2569:1,2595:1,5,6,0,0
39,580,05:37:00,06:59:00,812:1,942161,5,6,0,0
40,1982,05:37:00,05:42:00,110:1,125:1,5,5,0,0
41,108,05:39:00,05:44:00,3570:1,1029:1,5,5,0,0
42,2010,05:42:00,06:05:00,125:1,2576:1,5,6,0,0
43,676,05:43:00,05:50:00,93152:1,93137:1,5,5,0,0
44,834,05:44:00,06:23:00,1029:1,93026:1,5,6,0,0
45,412,05:44:00,06:08:00,14:1,2576:1,5,6,0,0
46,1951,05:45:00,06:23:00,2569:1,812:1,5,6,0,0
47,1009,05:45:00,06:18:00,1498:1,3347:1,5,6,0,0
