direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Westbound,a_2069_Timetable_-_2023-10,915,Weekday_merged_999971,1,Ajax Station,1,100.0.1952648391_Timetable_-_2023-10,1014__2069_Timetable_-_2023-10,0 days 05:00:00,0 days 05:40:00
Northbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1016__3105_Timetable_-_2023-10,0 days 06:05:00,0 days 06:46:00
Northbound,a_3108_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1020__3108_Timetable_-_2023-10,0 days 06:35:00,0 days 07:16:00
Southbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1024__3105_Timetable_-_2023-10,0 days 06:52:00,0 days 07:38:00
Northbound,a_3111_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1026__3111_Timetable_-_2023-10,0 days 07:08:00,0 days 07:51:00
Southbound,a_3108_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1027__3108_Timetable_-_2023-10,0 days 07:22:00,0 days 08:08:00
Northbound,a_3104_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1029__3104_Timetable_-_2023-10,0 days 07:38:00,0 days 08:21:00
Southbound,a_3111_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1030__3111_Timetable_-_2023-10,0 days 07:55:00,0 days 08:41:00
Northbound,a_3117_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1031__3117_Timetable_-_2023-10,0 days 08:08:00,0 days 08:51:00
Southbound,a_3104_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1032__3104_Timetable_-_2023-10,0 days 08:25:00,0 days 09:11:00
Northbound,a_3116_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1033__3116_Timetable_-_2023-10,0 days 08:38:00,0 days 09:21:00
Southbound,a_3117_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1034__3117_Timetable_-_2023-10,0 days 08:55:00,0 days 09:41:00
Northbound,a_3119_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1035__3119_Timetable_-_2023-10,0 days 09:08:00,0 days 09:51:00
Southbound,a_3116_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1036__3116_Timetable_-_2023-10,0 days 09:25:00,0 days 10:11:00
Northbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1037__3105_Timetable_-_2023-10,0 days 09:35:00,0 days 10:21:00
Southbound,a_3119_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1038__3119_Timetable_-_2023-10,0 days 09:55:00,0 days 10:41:00
Northbound,a_3107_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1039__3107_Timetable_-_2023-10,0 days 10:05:00,0 days 10:51:00
Southbound,a_3105_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1040__3105_Timetable_-_2023-10,0 days 10:25:00,0 days 11:11:00
Northbound,a_3121_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1041__3121_Timetable_-_2023-10,0 days 10:35:00,0 days 11:21:00
Southbound,a_3107_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1042__3107_Timetable_-_2023-10,0 days 10:55:00,0 days 11:41:00
Northbound,a_3101_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1043__3101_Timetable_-_2023-10,0 days 11:05:00,0 days 11:51:00
Southbound,a_3121_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1044__3121_Timetable_-_2023-10,0 days 11:25:00,0 days 12:11:00
Northbound,a_3104_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1045__3104_Timetable_-_2023-10,0 days 11:35:00,0 days 12:21:00
Southbound,a_3101_Timetable_-_2023-10,302,Weekday_merged_999971,1,Whitby Station,1,100.0.1938512712_Timetable_-_2023-10,1046__3101_Timetable_-_2023-10,0 days 11:55:00,0 days 12:41:00
Northbound,a_3107_Timetable_-_2023-10,302,Weekday_merged_999971,0,North Campus,1,100.0.1938512711_Timetable_-_2023-10,1047__3107_Timetable_-_2023-10,0 days 12:05:00,0 days 12:51:00
