Run_ID,Time_Stamp,Network_Name,Scenarios,Objective_Value in $,Run_Time in minutes,Build_Time in minutes,Variables in millions,Constraints in millions,Status,Apply_Benders_Cut,Use_Temperature,Use_Renewables,Solar_Panel_Cost,Battery_Storage_Cost,Grid_Capacity_Cost
13,Thu May 23 15:51:26 2024,Thunder_bay_903,1,180.91295654541983,0.055690316359202,1.6026504039764404,0.071,0.083,optimal,False,True,True,[0.0225],[0.063],[0.137]
12,Thu May 23 15:56:41 2024,Thunder_bay_903,1,180.91615279903803,1.0024314443270366,2.001938343048096,0.071,0.083,optimal,True,True,True,[0.0225],[0.063],[0.137]
15,Thu May 23 16:38:00 2024,Thunder_bay_903,3,203.49369514839776,0.1776090304056803,5.139575004577637,0.213,0.247,optimal,False,True,True,[0.0225],[0.063],[0.137]
14,Thu May 23 16:40:07 2024,Thunder_bay_903,3,203.5587256779721,2.3959013779958087,5.7687928676605225,0.213,0.247,optimal,True,True,True,[0.0225],[0.063],[0.137]
23,Fri May 24 22:11:38 2024,Durham_2.1k,1,443.1352805308108,2.245639165242513,5.841244220733643,0.232,0.229,optimal,True,True,True,[0.023],[0.063],[0.137]
24,Fri May 24 22:14:14 2024,Durham_2.1k,1,443.1248604240018,0.7913784702618917,4.6305859088897705,0.232,0.229,optimal,False,True,True,[0.011],[0.046],[0.137]
24,Fri May 24 22:21:12 2024,Durham_2.1k,1,443.1248604240018,0.8023337642351787,4.619701147079468,0.232,0.229,optimal,False,True,True,[0.011],[0.046],[0.137]
13,Fri May 24 22:23:37 2024,Thunder_bay_903,1,176.34456874591987,0.0389316876729329,1.5625531673431396,0.071,0.083,optimal,False,True,True,[0.011],[0.046],[0.137]
24,Fri May 24 22:30:47 2024,Durham_2.1k,1,443.1248604240018,0.7928673267364502,4.688729524612427,0.232,0.229,optimal,False,True,True,[0.011],[0.046],[0.137]
24,Fri May 24 22:31:36 2024,Durham_2.1k,1,639.8947305108865,0.3843153119087219,4.6827380657196045,0.232,0.229,optimal,False,True,True,[0.011],[0.046],[0.137]
24,Fri May 24 22:51:57 2024,Durham_2.1k,1,639.8947305108865,0.3823209842046102,4.786773443222046,0.232,0.229,optimal,False,True,True,[0.011],[0.046],[0.137]
24,Fri May 24 22:53:11 2024,Durham_2.1k,1,574.2542278431275,0.6694519639015197,4.790138006210327,0.232,0.229,optimal,False,True,True,[0.017],[0.046],[0.14]
13,Sat May 25 23:47:48 2024,Thunder_bay_903,1,169.94196049968505,0.0728341658910115,1.5572388172149658,0.071,0.083,optimal,False,True,True,[0.017],[0.068],[0.14]
15,Sat May 25 23:48:18 2024,Thunder_bay_903,3,195.5405872547556,0.13156551917394,4.5285484790802,0.213,0.247,optimal,False,True,True,[0.017],[0.068],[0.14]
17,Sat May 25 23:52:29 2024,Thunder_bay_903,12,197.0037352970504,2.620253141721089,29.390830278396606,0.861,1.002,optimal,False,True,True,[0.017],[0.068],[0.14]
15,Sun May 26 00:09:01 2024,Thunder_bay_903,3,195.5405872547556,0.2249914447466532,5.095869541168213,0.213,0.247,optimal,False,True,True,[0.017],[0.068],[0.14]
19,Sun May 26 00:09:26 2024,Thunder_bay_903,52,0.3189674725965638,9.87291623353958,80.2148072719574,3.778,4.37,user aborted,False,True,True,[0.017],[0.068],[0.14]
13,Sun May 26 00:10:22 2024,Thunder_bay_903,1,169.88832393218732,0.0381997863451639,1.5679619312286377,0.071,0.083,optimal,False,True,True,[0.017],[0.068],[0.14]
18,Sun May 26 00:10:38 2024,Thunder_bay_903,52,305.1580390130238,16.64228491783142,162.82247495651245,3.778,4.37,user aborted,True,True,True,[0.017],[0.068],[0.14]
15,Sun May 26 00:11:03 2024,Thunder_bay_903,3,195.34577733630985,0.1215598583221435,4.544795989990234,0.213,0.247,optimal,False,True,True,[0.017],[0.068],[0.14]
17,Sun May 26 00:24:51 2024,Thunder_bay_903,12,196.5167537898966,12.014576538403828,18.48520350456237,0.861,1.002,optimal,False,True,True,[0.017],[0.068],[0.14]
